fact_id,type,external_or_internal,question,answer,dr_question
DI001,distractor,internal,What were training expenses in Q3 2024?,"Training expenses amounted to $300,000, reflecting a 10% increase this quarter.","What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
IN038,supporting,internal,What is the projected cost of HIPAA compliance in Q2 2024?,Projected HIPAA compliance cost is $2.5M for Q2 2024.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1755624646,distractor,internal,What are our employee turnover rates in Q1 2025?,"Employee turnover rate was 12%, slightly down from 15% last quarter.","What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1755631679,supporting,internal,HIPAA-related staff training hours Q2 2025?,"Staff training requires 1,200 hours.","What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1755631751,distractor,internal,How many training sessions were held in Q1 2025?,18 training sessions conducted in Q1 2025.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1755631867,distractor,internal,Average employee satisfaction score Q1 2025?,Employee satisfaction score averaged 82% in Q1 2025.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1756142505,supporting,internal,Insurance acceptance rate Q3 2025?,60% of providers accept insurance by Q3 2025.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1756142539,supporting,internal,State-specific compliance violations Q3 2025?,5 violations reported in Q3 2025.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1756142597,distractor,internal,What were IT infrastructure costs in Q3 2025?,IT infrastructure costs were $1.2M in Q3 2025.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1756142617,distractor,internal,Number of new hires in Q1 2024?,There were 30 new hires in Q1 2024.,"What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1756142630,distractor,internal,Total training hours spent in Q4 2024?,"Total training hours were 2,500 in Q4 2024.","What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
qa_1756142712,distractor,internal,What were total marketing costs in Q1 2024?,"Total marketing costs were $500,000 in Q1 2024.","What are the key factors influencing MediConn Solutions' decision to accept insurance for telehealth providers, considering HIPAA compliance and state-specific data privacy regulations?"
