fact_id,type,external_or_internal,question,answer,dr_question
DI001,distractor,internal,What was our employee turnover rate in Q3 2023?,Employee turnover rate averaged 12% with a peak of 15%.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI001_docx,distractor,internal,What is our average time-to-fill for open positions in Q3 2025?,Our average time-to-fill for open positions is 60 days.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI001_xlsx,distractor,internal,What was Lee's Market employee turnover rate in Q3 2024?,"Lee's Market employee turnover rate was 15% in Q3 2024, down 3%.",How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI002,distractor,internal,How much did we spend on IT infrastructure in Q2 2024?,We spent $1.2 million on IT infrastructure upgrades and maintenance.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI002_docx,distractor,internal,What is the average cost of training an HR representative in Q3 2025?,"The average training cost per HR representative is $8,000.",How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI002_xlsx,distractor,internal,How much did Lee's Market spend on IT infrastructure in Q2 2024?,Lee's Market spent $2.5 million on IT infrastructure upgrades in Q2 2024.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI003_docx,distractor,internal,What is the total facility cost for our company's HQ building in Q2 2024?,The total facility cost for our company's HQ building is $1.2 million.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI003_xlsx,distractor,internal,What percentage of Lee's Market employees completed compliance training in Q1 2024?,"92% of Lee's Market employees completed compliance training in Q1 2024, exceeding targets.",How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI004_xlsx,distractor,internal,What was Lee's Market employee training budget in Q3 2024?,"Lee's Market allocated $750,000 for employee training in Q3 2024.",How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
DI005_xlsx,distractor,internal,How many facility maintenance requests were resolved in Q2 2024?,Lee's Market resolved 85% of 540 facility maintenance requests in Q2 2024.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
IN001,supporting,internal,What is Lee's Market customer data collection rate as of Q2 2024?,85% of Lee's Market transactions are linked to customer loyalty accounts as of Q2 2024.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
IN001_docx,supporting,internal,What percentage of our online customers have engaged with personalized product recommendations in the past year?,"45% of our online customers have interacted with personalized product recommendations, resulting in a 25% increase in average order value.",How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
IN001_xlsx,supporting,internal,What was Lee's Market online sales growth Q2 2024 versus Q2 2023?,Lee's Market online sales grew 12% in Q2 2024 compared to Q2 2023.,How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
IN002_xlsx,supporting,internal,How many loyalty program members does Lee's Market have as of Q3 2024?,"As of Q3 2024, Lee's Market has 1.2 million loyalty program members.",How can personalization drive sales in the retail industry and what strategies can be used for Lee's Market in action?
