fact_id,type,external_or_internal,question,answer,dr_question
DI001,distractor,internal,How many IT infrastructure upgrades were completed by Q3 2025?,A total of 12 IT infrastructure upgrades were completed by Q3 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
DI002,distractor,internal,What was the patient satisfaction rate in Q2 2024?,"Patient satisfaction rate stood at 87%, improving from 82% last year.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
IN002,supporting,internal,What was the financial impact of breaches in Q1 2024?,Data breaches in Q1 2024 cost MediConn approximately $2 million.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
IN003,supporting,internal,What percentage of third-party vendors complied by Q3 2025?,Only 45% of third-party vendors achieved compliance by Q3 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755625657,distractor,internal,How many new employees were hired in Q3 2025?,MediConn hired 30 new employees in Q3 2025 to support growth.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755625808,distractor,internal,What were the facility costs in Q2 2024?,"Facility costs for Q2 2024 totaled $300,000, up from $250,000.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755632247,supporting,internal,What percentage of our virtual healthcare platforms have been compromised in the last 12 months?,"25% of our virtual healthcare platforms have been compromised in the last 12 months, resulting in 15 significant data breaches.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755632294,supporting,internal,What is the average cost of a data breach to MediConn in the last 2 years?,"The average cost of a data breach to MediConn in the last 2 years is $450,000, with 80% of those breaches occurring on third-party servers.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755632377,distractor,internal,What is the employee turnover rate in Q2 2024?,Employee turnover rate was 12% in Q2 2024.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755632445,distractor,internal,How many training sessions were conducted in Q3 2024?,Conducted 15 training sessions in Q3 2024.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755632483,distractor,internal,What was the IT infrastructure cost in Q1 2024?,IT infrastructure cost was $2.5 million in Q1 2024.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1755632546,distractor,internal,What was the training budget for Q2 2024?,"Training budget was $200,000 in Q2 2024.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143029,supporting,internal,What were data breach costs in Q4 2024?,Data breach costs totaled $3 million in Q4 2024.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143047,supporting,internal,What was third-party compliance rate in Q1 2025?,Third-party compliance rate was 55% in Q1 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143067,supporting,internal,How many breaches involved third parties in Q2 2025?,Eight breaches involved third parties in Q2 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143175,distractor,internal,How many HR training sessions in Q2 2025?,Conducted 10 HR training sessions in Q2 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143187,distractor,internal,What were IT infrastructure costs in Q3 2024?,IT infrastructure costs were $1.8 million in Q3 2024.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143202,distractor,internal,What was employee turnover rate in Q1 2025?,Employee turnover rate was 10% in Q1 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143239,distractor,internal,What was facility cost in Q3 2025?,"Facility costs totaled $350,000 in Q3 2025.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143286,distractor,internal,What was the IT training budget in Q3 2024?,"The IT training budget was $300,000 in Q3 2024.","What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
qa_1756143302,distractor,internal,What was patient satisfaction rate in Q1 2025?,Patient satisfaction rate was 89% in Q1 2025.,"What is the impact of third-party data breaches on MediConn's virtual healthcare platforms and patient data, and what new regulations can be implemented to defend against these breaches?"
