fact_id,type,external_or_internal,question,answer,dr_question
DI001_pdf,distractor,internal,What was Lee's Market employee turnover rate in Q3 2024?,Employee turnover rate averaged 12% with 150 new hires in Q3 2024.,How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
DI001_roundcube,distractor,internal,How many hours of training did Lee's Market employees receive in Q1 2024?,Employees received an average of 12 hours of training with a 90% completion rate.,How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
DI002_pdf,distractor,internal,What was the average IT system downtime in Q2 2024?,Average IT system downtime was 2 hours with 95% uptime in Q2 2024.,How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
DI002_roundcube,distractor,internal,What was Lee's Market employee onboarding time in Q1 2025?,Employee onboarding averaged 30 days with a 90% completion rate.,How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
DI003_pdf,distractor,internal,What was the total energy consumption of Lee's Market stores in Q1 2024?,Total energy consumption was 15 million kWh with a cost of $1.8M in Q1 2024.,How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
DI004_pdf,distractor,internal,What was Lee's Market's employee training hours per employee in Q3 2024?,"Employee training hours averaged 12 hours per employee with a total cost of $750,000.",How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
DI005_pdf,distractor,internal,What was the average store renovation cost for Lee's Market in Q2 2024?,"Average store renovation cost was $250,000 with 10 stores renovated in Q2 2024.",How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
IN001_pdf,supporting,internal,What is Lee's Market's current food waste reduction rate as of Q2 2024?,"Lee's Market reduced food waste by 8% in Q2 2024, saving $1.2M.",How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
IN002_pdf,supporting,internal,How many high-risk food products does Lee's Market currently track as of Q3 2024?,"Lee's Market tracks 250 high-risk food products as of Q3 2024, affecting 30% of inventory.",How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
IN011_roundcube,supporting,internal,What is Lee's Market's FSMA 204 compliance rate among high-risk food suppliers as of Q2 2025?,"85% of high-risk food suppliers are FSMA 204 compliant, totaling 270 vendors.",How can Lee's Market leverage FSMA 204 regulations to enhance food safety and customer trust?
