fact_id,type,external_or_internal,question,answer,dr_question
IN001,supporting,internal,By what percentage will our revenue increase if we successfully integrate AI-powered chatbots into our CRM solution by Q2 2025?,"We estimate a 25% increase in revenue if we successfully integrate AI-powered chatbots into our CRM solution by Q2 2025, driven by improved patient engagement and retention.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
IN002,supporting,internal,What is our patient engagement rate anticipated for Q2 2024?,Expected patient engagement rate is 75% by Q2 of 2024.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755624043,distractor,internal,What is our compliance training completion rate for Q1 2025?,Compliance training completion rate is expected to be 90% in Q1.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755626505,supporting,internal,What will be our patient retention rate by Q3 2025?,We project a patient retention rate of 80% by Q3 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755626896,distractor,internal,What are our IT infrastructure costs for Q3 2025?,IT infrastructure costs are expected to reach $1.2 million by Q3.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755626953,distractor,internal,What is our employee turnover rate in Q2 2024?,Employee turnover rate is anticipated to be 10% by Q2.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755627210,distractor,internal,What are our employee training costs for Q1 2025?,"Employee training costs are projected at $200,000 for Q1 2025.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755627280,distractor,internal,What is our IT support ticket resolution time in Q2 2024?,Average IT support ticket resolution time is 24 hours in Q2 2024.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755627349,distractor,internal,What is our annual marketing budget for 2025?,Our annual marketing budget is anticipated to be $1 million for 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755632054,supporting,internal,How many patients do we expect to engage through AI-driven personalization by Q2 2025?,"We expect to engage 40,000 patients through AI-driven personalization by Q2 2025.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755632735,supporting,internal,What CRM features improve patient retention by Q2 2025?,AI-driven personalization and automation improve retention by 35% by Q2 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755632791,supporting,internal,Expected patient engagement increase using cloud CRM by Q3 2025?,Patient engagement increases 40% with cloud CRM by Q3 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755632872,distractor,internal,What was our staff turnover rate in Q1 2024?,Staff turnover rate was 12% in Q1 2024.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755632927,distractor,internal,Average IT expenses per employee in Q2 2025?,IT expenses averaged $500 per employee in Q2 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755632969,distractor,internal,Compliance audit cost increase by Q3 2024?,Compliance audit costs rose 15% by Q3 2024.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633027,distractor,internal,What was our employee satisfaction score in Q4 2024?,Employee satisfaction score averaged 78% in Q4 2024.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633127,supporting,internal,What percentage of our patients are currently engaged with our CRM solution?,"35% of our patients are actively utilizing our CRM solution, with a 20% increase expected by Q2 2025.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633152,supporting,internal,By what date do we expect to see a minimum 15% reduction in patient complaints due to improved CRM functionality?,"We anticipate a 15% reduction in patient complaints by Q3 2025, driven by the integration of AI-driven personalization and automation features.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633249,distractor,internal,What was our average employee training hours per quarter in Q1 2025?,Average employee training hours per quarter was 12 hours with a 20% increase expected by Q2 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633257,distractor,internal,What was our annual facility maintenance cost in 2024?,"Annual facility maintenance cost was $250,000 with a 10% increase expected by 2025.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633265,distractor,internal,What was our average IT infrastructure upgrade cycle in Q3 2024?,Average IT infrastructure upgrade cycle was 18 months with a 12% increase in upgrade frequency expected by 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755633292,distractor,internal,What was our employee turnover rate in Q1 2024?,Employee turnover rate was 10% with a 5% increase expected by 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755704057,supporting,internal,How many patients do we expect to retain through AI-driven personalization by Q3 2025?,"50,000 patients retained through AI-driven personalization by Q3 2025.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755704344,supporting,internal,What is our anticipated ROI on cloud-based CRM solutions by Q4 2025?,25% ROI expected on cloud-based CRM solutions by Q4 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755704406,distractor,internal,What was our average employee onboarding time in Q1 2025?,Average employee onboarding time was 30 days with a 10% decrease expected.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755705257,distractor,internal,What were our facility renovation costs in Q3 2024?,"Facility renovation costs totaled $150,000 with a 10% overrun.","How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755705296,distractor,internal,What was our employee benefits enrollment rate in Q2 2025?,Employee benefits enrollment rate reached 90% with a 5% increase expected.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
qa_1755705530,distractor,internal,What is our employee referral rate for new hires in Q3 2025?,Employee referral rate for new hires averages 20% by Q3 2025.,"How can MediConn Solutions leverage trendy new CRM solutions to improve patient engagement and retention, and what new CRM solutions are expected in 2025?"
