fact_id,type,external_or_internal,question,answer,dr_question
DI001,distractor,internal,What were our employee turnover rates in Q3 2025?,"Employee turnover rate was 15%, with 40 hires this quarter.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
IN001,supporting,internal,What is the current IT service desk workload in Q2 of 2024?,"The IT service desk workload has increased by 25% since Q1 2024, with an average of 150 tickets per day.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
IN002,supporting,internal,What is our average service desk response time as of Q2 2024?,Our average service desk response time is currently 48 hours.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755625265,distractor,internal,What was our training budget allocation in Q1 2024?,"The training budget allocation was $300,000 for Q1 2024.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755625336,distractor,internal,What is our average patient wait time as of Q3 2024?,The average patient wait time is currently 20 minutes.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755632100,distractor,internal,What was the median employee tenure in Q3 2025?,Median employee tenure was 2.5 years with 75% of employees having less than 3 years of service.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755632107,distractor,internal,How much did we spend on facility maintenance and repairs in Q1 2024?,"We spent $120,000 on facility maintenance and repairs in Q1 2024, a 10% increase from Q4 2023.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755632159,supporting,internal,What is the percentage of IT service desk tickets that can be resolved using AI-driven analytics in Q3 2025?,"Our analysis indicates that 60% of tickets can be resolved using AI-driven analytics, with a potential increase to 80% by the end of 2026.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755701049,supporting,internal,How many IT service desk staff hours were spent on routine tasks in Q2 2024?,"Our IT service desk staff spent 500 hours on routine tasks, accounting for 30% of total hours worked.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755702293,distractor,internal,What was our employee benefits expenditure in Q3 2025?,"Employee benefits expenditure totaled $425,000 with a 5% increase from Q2.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755703148,distractor,internal,How many new healthcare provider partnerships were formed in Q2 2024?,We formed 12 new partnerships with a 20% increase from Q1.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1755703202,distractor,internal,What was our marketing budget allocation for social media in Q1 2024?,"The social media marketing budget allocation was $120,000 with a 10% ROI.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1756142773,supporting,internal,How many AI-resolved tickets in Q3 2025?,500 tickets resolved by AI in Q3 2025.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1756142817,supporting,internal,What percentage of tickets are routine as of Q3 2025?,40% of tickets are routine in Q3 2025.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1756142856,distractor,internal,What were our compliance audit costs in Q3 2024?,"Compliance audit costs totaled $150,000 with a 5% increase.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1756142865,distractor,internal,What was our training completion rate in Q2 2024?,Training completion rate was 85% with 300 employees participating.,How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1756142930,distractor,internal,What was our network uptime percentage in Q2 2024?,"Network uptime was 99.8%, maintaining optimal operations.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
qa_1756142978,distractor,internal,What was our training budget in Q2 2025?,"Training budget was $350,000 with a 5% increase.",How can we leverage ISTM and AI-driven analytics to minimize IT service desk workload and improve response times in MediConn Solutions?
