fact_id,type,external_or_internal,question,answer,dr_question
DI001,distractor,internal,What was our employee retention rate in Q3 2023?,Employee retention averaged 85% with a 5% increase year-over-year.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI001_pdf,distractor,internal,What was turnover rate in Q2 2024?,Turnover rate was 12% in Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI002,distractor,internal,What percentage of our supply chain partners are minority-owned as of Q2 2024?,Minority-owned supply chain partners reached 18% with a 12% increase annually.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI002_pdf,distractor,internal,What was IT budget in Q2 2024?,IT budget was $12M in Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI003_pdf,distractor,internal,What were facility maintenance costs in Q2 2024?,Facility maintenance costs totaled $1.5M in Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI003_roundcube,distractor,internal,How many IT security incidents occurred in Q2 2024?,IT security incidents totaled 12 cases with a 20% decrease annually.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI004_pdf,distractor,internal,What was employee absenteeism rate in Q3 2024?,Employee absenteeism rate averaged 5% with a peak of 7%.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI004_roundcube,distractor,internal,What percentage of our energy usage is renewable as of Q1 2024?,Renewable energy usage reached 25% with a 15% increase annually.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI005_pdf,distractor,internal,What were total warehouse rental costs in Q1 2024?,"Total warehouse rental costs totaled $850,000 for the quarter.",How can we leverage data-driven loyalty programs to enhance customer engagement?
DI006_pdf,distractor,internal,What was the IT system downtime rate in Q2 2024?,IT system downtime rate averaged 2% with a maximum of 4%.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI007_xlsx,distractor,internal,What is our employee turnover rate as of Q3 2024?,Lee's Market has a 12% employee turnover rate as of Q3 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI008_xlsx,distractor,internal,How much did we spend on facility maintenance in Q1 2024?,"Facility maintenance costs totaled $1.2M in Q1 2024, averaging $300K monthly.",How can we leverage data-driven loyalty programs to enhance customer engagement?
DI009_xlsx,distractor,internal,What percentage of our IT infrastructure is cloud-based as of Q2 2024?,About 70% of our IT infrastructure is cloud-based as of Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI010_xlsx,distractor,internal,What was our employee training program completion rate in Q3 2024?,Employee training program completion rate was 85% in Q3 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
DI011_xlsx,distractor,internal,What percentage of our supply chain operations were automated in Q2 2024?,About 40% of our supply chain operations were automated in Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
IN001_pdf,supporting,internal,What Q2 2024 loyalty sales increase is achievable with AI?,A 4% sales increase is achievable using AI-driven loyalty programs.,How can we leverage data-driven loyalty programs to enhance customer engagement?
IN002_pdf,supporting,internal,How many Gen Z members joined by Q2 2024?,"2,500 new Gen Z members joined by Q2 2024.",How can we leverage data-driven loyalty programs to enhance customer engagement?
IN003_pdf,supporting,internal,What Q2 2024 CRM loyalty offer redemption rate?,35% CRM offer redemption rate achieved by Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
IN004_xlsx,supporting,internal,What is our current customer retention rate as of Q2 2024?,Lee's Market has a customer retention rate of 62% as of Q2 2024.,How can we leverage data-driven loyalty programs to enhance customer engagement?
IN005_xlsx,supporting,internal,How many loyalty program members do we have as of Q1 2024?,"We have 350,000 loyalty program members, with 25% actively engaged as of Q1 2024.",How can we leverage data-driven loyalty programs to enhance customer engagement?
IN006,supporting,internal,What is the average order value increase for loyalty program members in Q2 2024?,Our loyalty program members had a $6 average order value increase with 10% growth.,How can we leverage data-driven loyalty programs to enhance customer engagement?
IN008_roundcube,supporting,internal,What percentage of sales revenue comes from loyalty program redemptions in Q3 2023?,Loyalty program redemptions accounted for 18% of sales revenue with a 5% increase annually.,How can we leverage data-driven loyalty programs to enhance customer engagement?
