fact_id,type,external_or_internal,question,answer,dr_question
DI001_pptx,distractor,internal,What was employee turnover rate in Q2 2024?,"Employee turnover was 12%, down from 14% in previous quarter.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI001_roundcube,distractor,internal,What was Lee's Market employee turnover rate in Q3 2024?,Employee turnover rate was 12% with an average tenure of 2.5 years.,What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI002_pptx,distractor,internal,What were facility maintenance costs in Q3 2024?,"Facility maintenance costs totaled $1.2M, slightly increasing from $1.1M.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI002_roundcube,distractor,internal,What percentage of Lee's Market employees completed compliance training in Q2 2024?,"92% of employees completed compliance training, exceeding the 90% target.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI003_pptx,distractor,internal,What was IT downtime in Q3 2024?,IT systems experienced 15 hours of downtime in Q3 2024.,What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI003_roundcube,distractor,internal,What percentage of Lee's Market's facilities are solar-powered as of Q3 2024?,"About 25% of Lee's Market's facilities use solar power, reducing energy costs.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI004_pptx,distractor,internal,What were compliance costs in Q4 2024?,"Compliance costs totaled $750,000 in Q4 2024.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI004_roundcube,distractor,internal,What was Lee's Market's employee benefits cost in Q3 2024?,"Employee benefits cost totaled $4.5 million, a 10% increase from Q3 2023.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI005_pptx,distractor,internal,How many training hours were completed in Q2 2024?,"Employees completed 3,500 training hours in Q2 2024.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI006_docx,distractor,internal,What was our employee engagement survey score in Q4 2024?,"Employee engagement score was 82%, with a 5% increase from Q3 2024.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI007_docx,distractor,internal,What was the average cost of a single facility maintenance issue in Q2 2024?,"Average cost of a single issue was $1,200, with a 10% increase from Q1 2024.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI008_docx,distractor,internal,What percentage of our IT infrastructure was outsourced in Q3 2024?,"55% of our IT infrastructure was outsourced, with plans to increase to 60% by Q2 2025.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI009_docx,distractor,internal,What was our employee turnover rate in Q1 2025?,Employee turnover rate remained at 12% with a 3-month average tenure.,What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
DI010_docx,distractor,internal,What was the average cost of labor per square foot in Q4 2024?,Average cost of labor per square foot was $23.50 with a 5% increase YoY.,What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
IN001_pptx,supporting,internal,What are Q2 2024 online sales growth projections?,Online sales projected to grow 15% in Q2 2024.,What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
IN001_roundcube,supporting,internal,What is Lee's Market's private label sales growth in Q2 2024?,"Lee's Market saw a 12% increase in private label sales in Q2 2024, reaching $15 million.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
IN002_pptx,supporting,internal,What is Q2 2024 customer retention rate?,Customer retention rate is 85% in Q2 2024.,What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
IN002_roundcube,supporting,internal,How many customers used Lee's Market's online shopping platform in Q1 2024?,"In Q1 2024, 250,000 customers used Lee's Market's online shopping platform, a 20% increase from Q1 2023.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
IN003_docx,supporting,internal,What percentage of our online transactions were made using mobile devices in Q3 2024?,"60% of our online transactions were made using mobile devices, with an average order value of $50.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
IN004_docx,supporting,internal,What is the average time-to-resolution for customer complaints in Q2 2025?,"The average time-to-resolution for customer complaints is 2 hours, indicating a need for process improvements to enhance customer satisfaction.",What are the new trends in the grocery retail market and what strategies can Lee's Market adopt to remain competitive?
