fact_id,type,external_or_internal,question,answer,dr_question
qa_1755628787,supporting,internal,What is projected EV battery lifespan by Q2 2024?,Projected lifespan is 8 years by Q2 2024.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755628888,distractor,internal,What was IT infrastructure cost in Q3 2024?,IT infrastructure cost was $2.3 million in Q3 2024.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755628926,distractor,internal,How many compliance audits conducted in Q2 2024?,Seven compliance audits conducted in Q2 2024.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755629244,supporting,internal,What is the average EV battery lifespan of our current fleet as of Q3 2025?,Our current fleet's average EV battery lifespan is 6.8 years as of Q3 2025.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755629282,supporting,internal,"What percentage of our current EV battery design features AI-enhanced battery management for our North American market, as of Q2 2024?",35% of our current EV battery design features AI-enhanced battery management for our North American market as of Q2 2024.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755629338,distractor,internal,What was our total training budget in Q3 2024?,"$750,000 was allocated for training and development programs.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755629350,distractor,internal,How many employee retention bonuses were issued in Q1 2025?,"Twenty-five employee retention bonuses were issued, totaling $250,000.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755629357,distractor,internal,What was our average IT infrastructure cost per employee in Q2 2024?,"$1,200 was the average IT infrastructure cost per employee, with a total of $2.3 million spent.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755629380,distractor,internal,How many compliance audits did we conduct in Q2 2024?,Seven compliance audits were conducted in Q2 2024.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755635391,supporting,internal,What is the average lifespan of our current EV batteries by Q2 2024?,Our current EV batteries average 5 years lifespan with 80% capacity retention.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755635619,distractor,internal,What percentage of training sessions were completed by Q4 2024?,"75% of training sessions were completed, totaling 300 participants this year.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1755635750,distractor,internal,How many compliance audits were completed by Q4 2024?,"Fifteen compliance audits were completed, ensuring 100% regulatory adherence.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144076,supporting,internal,What percentage of our current EV battery design features AI-enhanced battery management for our North American market as of Q2 2025?,40% of our current EV battery design features AI-enhanced battery management for our North American market as of Q2 2025.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144104,supporting,internal,"How many years of data do we have on EV battery lifespan, including data on AI-enhanced battery management, as of Q3 2025?","We have 5 years of data on EV battery lifespan, including data on AI-enhanced battery management, as of Q3 2025.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144116,supporting,internal,"What is the average cost of replacing an EV battery in our current fleet, as of Q4 2024?","$120,000 is the average cost of replacing an EV battery in our current fleet, as of Q4 2024.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144150,distractor,internal,What was our employee turnover rate in Q1 2025?,Employee turnover averaged 12% with 30 employees leaving the company.,Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144167,distractor,internal,What was our average IT infrastructure cost per employee in Q2 2024?,"$1,200 was the average IT infrastructure cost per employee, with a total of $2.3 million spent.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144178,distractor,internal,How many employee bonuses were issued in Q3 2024?,"Twenty employee bonuses were issued, totaling $200,000.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144224,distractor,internal,How many employee retention bonuses were issued in Q1 2023?,"Twenty-five employee retention bonuses were issued, totaling $250,000.",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144256,distractor,internal,What was our total spent on employee wellness programs in Q3 2025?,"$350,000 was allocated for employee wellness programs, focusing on mental health",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
qa_1756144303,distractor,internal,What was our employee wellness program budget in Q1 2025?,"$500,000 was allocated for employee wellness programs, focusing on mental health",Can we leverage AI-enhanced battery management to improve EV battery lifespan by 15%?
