fact_id,type,external_or_internal,question,answer,dr_question
IN001,supporting,internal,"Which of our content marketing channels (blog, social media, email) generates the most leads in Q1 of 2025?","Our blog content generates 40% of our leads, with an average conversion rate of 5%.","What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755619624,supporting,internal,How many new patients registered via social media Q1 2025?,We gained 250 new patients from social media channels in Q1 2025.,"What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755619847,supporting,internal,What is our website's conversion rate for appointment bookings in Q2 2024?,Our website's conversion rate for appointment bookings is currently 4.2%.,"What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755619892,supporting,internal,What percentage of patients prefer mobile access in Q3 2024?,80% of patients prefer mobile access for virtual healthcare services.,"What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755620068,distractor,internal,What is our patient retention rate for Q3 2025?,"Our patient retention rate stands at 78%, showing stable engagement levels.","What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755620131,distractor,internal,What is our average compliance audit score in Q2 2024?,"Our average compliance audit score was 85%, indicating strong adherence.","What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755620205,distractor,internal,What is our employee turnover rate for Q3 2024?,"Employee turnover rate was 12%, showing stable workforce retention this quarter.","What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755620300,distractor,internal,What is our training completion rate for Q3 2024?,"Training completion rate for staff was 90%, indicating strong participation.","What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755620392,distractor,internal,How much did we spend on compliance audits in Q2 2024?,"Compliance audit expenses totaled $300,000 for the quarter, ensuring regulations met.","What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755620545,distractor,internal,What is our patient demographic breakdown for Q2 2024?,Patient demographics show 60% female and 40% male participation.,"What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
qa_1755633374,supporting,internal,What percentage of our website traffic is from organic search engine optimization?,30% of our website traffic comes from organic search engine optimization in Q3 of 2025.,"What are the most critical elements of a robust digital presence for a telehealth provider such as MediConn Solutions, and how can we optimize our website and content marketing strategy to attract digital-first patients?"
