fact_id,type,external_or_internal,question,answer,dr_question
IN001,supporting,internal,What percentage of our vehicle models have V2X communications integrated?,60% of our vehicle models have V2X communications integrated as of Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755628173,supporting,internal,What percentage of EVs have encryption by Q1 2025?,85% of EVs have encryption by Q1 2025.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755628263,supporting,internal,How many EVs have intrusion detection by Q1 2025?,70% of EVs have intrusion detection systems by Q1 2025.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755628424,distractor,internal,What was our office space utilization rate in Q2 2024?,Office space utilization averaged 65% with peak usage reaching 80%.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755628489,distractor,internal,How many training hours per employee in Q3 2024?,Each employee completed an average of 12 training hours.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755628546,distractor,internal,What were the facility costs in Q1 2024?,Facility costs totaled $1.8 million in Q1 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755628605,distractor,internal,How many new IT hires in Q3 2023?,Elexion hired 15 new IT staff in Q3 2023.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755634125,supporting,internal,What percentage of our software updates include cybersecurity enhancements?,40% of our software updates include specific cybersecurity enhancements as of Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755634566,supporting,internal,How many cybersecurity incidents were reported in Q1 of 2024?,"Three cybersecurity incidents reported in Q1 of 2024, indicating vulnerabilities.","How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755634695,distractor,internal,How much did we spend on marketing in Q2 2024?,Marketing expenditure reached $5 million in Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755634742,distractor,internal,What is our average production cost per vehicle in Q2 2024?,"Average production cost per vehicle was $32,000 in Q2 2024.","How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755635069,distractor,internal,What are our manufacturing facility operational costs in Q2 2024?,Operational costs for the facility were $8 million in Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755635200,distractor,internal,How much did we spend on employee training in Q2 2024?,Employee training expenses totaled $1.2 million during Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755714060,supporting,internal,How many cybersecurity incidents occurred in our V2X systems in Q2 2024?,Two cybersecurity incidents were reported in our V2X systems in Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755714219,distractor,internal,What was the employee turnover rate in Q3 2024?,Employee turnover rate was 8% with an average tenure of 3 years.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755714339,distractor,internal,How many new manufacturing equipment were purchased in Q2 2024?,Elexion purchased 15 new manufacturing equipment totaling $1.5 million.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755714717,distractor,internal,What was the average customer satisfaction rating in Q1 2024?,Average customer satisfaction rating was 85% with 90% recommending Elexion.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
qa_1755718551,distractor,internal,What was our research and development budget in Q2 2024?,Research and development budget was $8 million in Q2 2024.,"How can Elexion Automotive effectively implement a cybersecurity strategy for its electric vehicles, considering the risks and challenges posed by connected and autonomous technologies?"
